"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ERR906946_G1_23F_1999","ERR906947_G3_19A_2007","ERR906949_G5_NT_2010","ERR906950_G5_19A_2010","ERR906951_G5_23B_2010","ERR906952_G5_15A_2010","ERR906953_G5_19A_2010","ERR906954_G5_7C_2010"
"group_3136","","hypothetical protein","8","8","1","11","2788","","","","1337","1337","1337","SPN_01164","c42d22b1a89013949a40735112065cff_137","1651352c2107c8e99d1e2755be326f79_939","60840bfe9c73a8f6158b7bc25c0cbd81_248","a0f7cc78741c7df6a041aa1969fd6ff0_135","c456f1c0372d74d556a5dc3af636a419_1434","731f4f343d163482ebf56e977393a970_659","ca0cc224996876d0826ad521ee7078ca_193"
"polA","","DNA polymerase I","8","8","1","11","1626","","","","2669","2669","2669","SPN_00015","c42d22b1a89013949a40735112065cff_317","1651352c2107c8e99d1e2755be326f79_1235","60840bfe9c73a8f6158b7bc25c0cbd81_1519","a0f7cc78741c7df6a041aa1969fd6ff0_1475","c456f1c0372d74d556a5dc3af636a419_418","731f4f343d163482ebf56e977393a970_839","ca0cc224996876d0826ad521ee7078ca_2006"
"group_3138","","hypothetical protein","8","8","1","11","2998","","","","548","548","548","SPN_00931","c42d22b1a89013949a40735112065cff_506","1651352c2107c8e99d1e2755be326f79_431","60840bfe9c73a8f6158b7bc25c0cbd81_38","a0f7cc78741c7df6a041aa1969fd6ff0_364","c456f1c0372d74d556a5dc3af636a419_747","731f4f343d163482ebf56e977393a970_560","ca0cc224996876d0826ad521ee7078ca_1882"
"patA_1","","Peptidoglycan O-acetyltransferase","8","8","1","11","373","","","","1244","1244","1244","SPN_01373","c42d22b1a89013949a40735112065cff_391","1651352c2107c8e99d1e2755be326f79_1176","60840bfe9c73a8f6158b7bc25c0cbd81_776","a0f7cc78741c7df6a041aa1969fd6ff0_1313","c456f1c0372d74d556a5dc3af636a419_976","731f4f343d163482ebf56e977393a970_1141","ca0cc224996876d0826ad521ee7078ca_1034"
"group_3140","","hypothetical protein","8","8","1","11","2690","","","","803","803","803","SPN_00601","c42d22b1a89013949a40735112065cff_769","1651352c2107c8e99d1e2755be326f79_1769","60840bfe9c73a8f6158b7bc25c0cbd81_879","a0f7cc78741c7df6a041aa1969fd6ff0_731","c456f1c0372d74d556a5dc3af636a419_599","731f4f343d163482ebf56e977393a970_1367","ca0cc224996876d0826ad521ee7078ca_1121"
"ykuR","","N-acetyldiaminopimelate deacetylase","8","8","1","11","274","","","","1130","1130","1130","SPN_01453","c42d22b1a89013949a40735112065cff_471","1651352c2107c8e99d1e2755be326f79_1571","60840bfe9c73a8f6158b7bc25c0cbd81_699","a0f7cc78741c7df6a041aa1969fd6ff0_1927","c456f1c0372d74d556a5dc3af636a419_1202","731f4f343d163482ebf56e977393a970_1062","ca0cc224996876d0826ad521ee7078ca_1456"
"group_3142","","hypothetical protein","8","8","1","11","638","","","","299","299","299","SPN_02017","c42d22b1a89013949a40735112065cff_1024","1651352c2107c8e99d1e2755be326f79_2184","60840bfe9c73a8f6158b7bc25c0cbd81_2055","a0f7cc78741c7df6a041aa1969fd6ff0_1283","c456f1c0372d74d556a5dc3af636a419_1035","731f4f343d163482ebf56e977393a970_2105","ca0cc224996876d0826ad521ee7078ca_845"
"rsmG","","Ribosomal RNA small subunit methyltransferase G","8","8","1","11","2677","","","","713","713","713","SPN_00589","c42d22b1a89013949a40735112065cff_757","1651352c2107c8e99d1e2755be326f79_2067","60840bfe9c73a8f6158b7bc25c0cbd81_868","a0f7cc78741c7df6a041aa1969fd6ff0_719","c456f1c0372d74d556a5dc3af636a419_610","731f4f343d163482ebf56e977393a970_1379","ca0cc224996876d0826ad521ee7078ca_1133"
"yhjX","","putative MFS-type transporter YhjX","8","8","1","11","1966","","","","1226","1226","1226","SPN_00355","c42d22b1a89013949a40735112065cff_1525","1651352c2107c8e99d1e2755be326f79_463","60840bfe9c73a8f6158b7bc25c0cbd81_1085","a0f7cc78741c7df6a041aa1969fd6ff0_1082","c456f1c0372d74d556a5dc3af636a419_314","731f4f343d163482ebf56e977393a970_172","ca0cc224996876d0826ad521ee7078ca_774"
"gmuE","","Putative fructokinase","8","8","1","11","867","","","","887","887","887","SPN_00241","c42d22b1a89013949a40735112065cff_53","1651352c2107c8e99d1e2755be326f79_192","60840bfe9c73a8f6158b7bc25c0cbd81_475","a0f7cc78741c7df6a041aa1969fd6ff0_968","c456f1c0372d74d556a5dc3af636a419_193","731f4f343d163482ebf56e977393a970_54","ca0cc224996876d0826ad521ee7078ca_563"
"livH_2","","High-affinity branched-chain amino acid transport system permease protein LivH","8","8","1","11","573","","","","869","869","869","SPN_02070","c42d22b1a89013949a40735112065cff_969","1651352c2107c8e99d1e2755be326f79_346","60840bfe9c73a8f6158b7bc25c0cbd81_1611","a0f7cc78741c7df6a041aa1969fd6ff0_2075","c456f1c0372d74d556a5dc3af636a419_637","731f4f343d163482ebf56e977393a970_249","ca0cc224996876d0826ad521ee7078ca_899"
"cdd_1","","hypothetical protein","8","8","1","11","248","","","","431","434","433","SPN_01479","c42d22b1a89013949a40735112065cff_2101","1651352c2107c8e99d1e2755be326f79_1596","60840bfe9c73a8f6158b7bc25c0cbd81_674","a0f7cc78741c7df6a041aa1969fd6ff0_2085","c456f1c0372d74d556a5dc3af636a419_1175","731f4f343d163482ebf56e977393a970_1037","ca0cc224996876d0826ad521ee7078ca_1478"
"queA","","S-adenosylmethionine:tRNA ribosyltransferase-isomerase","8","8","1","11","2466","","","","1028","1028","1028","SPN_00504","c42d22b1a89013949a40735112065cff_679","1651352c2107c8e99d1e2755be326f79_2121","60840bfe9c73a8f6158b7bc25c0cbd81_787","a0f7cc78741c7df6a041aa1969fd6ff0_634","c456f1c0372d74d556a5dc3af636a419_1241","731f4f343d163482ebf56e977393a970_939","ca0cc224996876d0826ad521ee7078ca_1218"
"bepA","","Beta-barrel assembly-enhancing protease","8","8","1","11","1937","","","","1229","1229","1229","SPN_00439","c42d22b1a89013949a40735112065cff_781","1651352c2107c8e99d1e2755be326f79_581","60840bfe9c73a8f6158b7bc25c0cbd81_1166","a0f7cc78741c7df6a041aa1969fd6ff0_569","c456f1c0372d74d556a5dc3af636a419_1998","731f4f343d163482ebf56e977393a970_2043","ca0cc224996876d0826ad521ee7078ca_2030"
"bioY2","","Biotin transporter BioY2","8","8","1","11","604","","","","536","536","536","SPN_01995","c42d22b1a89013949a40735112065cff_999","1651352c2107c8e99d1e2755be326f79_317","60840bfe9c73a8f6158b7bc25c0cbd81_1761","a0f7cc78741c7df6a041aa1969fd6ff0_1620","c456f1c0372d74d556a5dc3af636a419_2047","731f4f343d163482ebf56e977393a970_1829","ca0cc224996876d0826ad521ee7078ca_870"
"metE","","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase","8","8","1","11","1021","","","","2249","2249","2249","SPN_00842","c42d22b1a89013949a40735112065cff_593","1651352c2107c8e99d1e2755be326f79_1960","60840bfe9c73a8f6158b7bc25c0cbd81_1396","a0f7cc78741c7df6a041aa1969fd6ff0_459","c456f1c0372d74d556a5dc3af636a419_1356","731f4f343d163482ebf56e977393a970_476","ca0cc224996876d0826ad521ee7078ca_670"
"fsaA","","Fructose-6-phosphate aldolase 1","8","8","1","11","2806","","","","668","668","668","SPN_01149","c42d22b1a89013949a40735112065cff_122","1651352c2107c8e99d1e2755be326f79_121","60840bfe9c73a8f6158b7bc25c0cbd81_231","a0f7cc78741c7df6a041aa1969fd6ff0_150","c456f1c0372d74d556a5dc3af636a419_1418","731f4f343d163482ebf56e977393a970_1486","ca0cc224996876d0826ad521ee7078ca_178"
"neuA","","hypothetical protein","8","8","1","11","2400","","","","635","635","635","SPN_00485","c42d22b1a89013949a40735112065cff_1990","1651352c2107c8e99d1e2755be326f79_262","60840bfe9c73a8f6158b7bc25c0cbd81_1821","a0f7cc78741c7df6a041aa1969fd6ff0_615","c456f1c0372d74d556a5dc3af636a419_1561","731f4f343d163482ebf56e977393a970_910","ca0cc224996876d0826ad521ee7078ca_1507"
"recJ","","Single-stranded-DNA-specific exonuclease RecJ","8","8","1","11","1043","","","","2222","2222","2222","SPN_00822","c42d22b1a89013949a40735112065cff_613","1651352c2107c8e99d1e2755be326f79_908","60840bfe9c73a8f6158b7bc25c0cbd81_1376","a0f7cc78741c7df6a041aa1969fd6ff0_480","c456f1c0372d74d556a5dc3af636a419_1336","731f4f343d163482ebf56e977393a970_370","ca0cc224996876d0826ad521ee7078ca_690"
"murC","","UDP-N-acetylmuramate--L-alanine ligase","8","8","1","11","2211","","","","1334","1334","1334","SPN_00422","c42d22b1a89013949a40735112065cff_1462","1651352c2107c8e99d1e2755be326f79_2021","60840bfe9c73a8f6158b7bc25c0cbd81_1149","a0f7cc78741c7df6a041aa1969fd6ff0_552","c456f1c0372d74d556a5dc3af636a419_2121","731f4f343d163482ebf56e977393a970_236","ca0cc224996876d0826ad521ee7078ca_837"
"rplF","","50S ribosomal protein L6","8","8","1","11","102","","","","536","536","536","SPN_01178","c42d22b1a89013949a40735112065cff_151","1651352c2107c8e99d1e2755be326f79_953","60840bfe9c73a8f6158b7bc25c0cbd81_262","a0f7cc78741c7df6a041aa1969fd6ff0_121","c456f1c0372d74d556a5dc3af636a419_1448","731f4f343d163482ebf56e977393a970_673","ca0cc224996876d0826ad521ee7078ca_207"
"ribBA","","Riboflavin biosynthesis protein RibBA","8","8","1","11","3393","","","","1205","1205","1205","SPN_01236","c42d22b1a89013949a40735112065cff_192","1651352c2107c8e99d1e2755be326f79_995","60840bfe9c73a8f6158b7bc25c0cbd81_320","a0f7cc78741c7df6a041aa1969fd6ff0_80","c456f1c0372d74d556a5dc3af636a419_1811","731f4f343d163482ebf56e977393a970_714","ca0cc224996876d0826ad521ee7078ca_248"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","8","8","1","11","1244","","","","767","767","767","SPN_00382","c42d22b1a89013949a40735112065cff_1498","1651352c2107c8e99d1e2755be326f79_560","60840bfe9c73a8f6158b7bc25c0cbd81_1112","a0f7cc78741c7df6a041aa1969fd6ff0_512","c456f1c0372d74d556a5dc3af636a419_1490","731f4f343d163482ebf56e977393a970_199","ca0cc224996876d0826ad521ee7078ca_801"
"group_3159","","Putative glutamine amidotransferase","8","8","1","11","2282","","","","689","689","689","SPN_01881","c42d22b1a89013949a40735112065cff_1776","1651352c2107c8e99d1e2755be326f79_1992","60840bfe9c73a8f6158b7bc25c0cbd81_1684","a0f7cc78741c7df6a041aa1969fd6ff0_1236","c456f1c0372d74d556a5dc3af636a419_891","731f4f343d163482ebf56e977393a970_1908","ca0cc224996876d0826ad521ee7078ca_1830"
"adhA","","Alcohol dehydrogenase 1","8","8","1","11","811","","","","1019","1019","1019","SPN_01120","c42d22b1a89013949a40735112065cff_92","1651352c2107c8e99d1e2755be326f79_86","60840bfe9c73a8f6158b7bc25c0cbd81_200","a0f7cc78741c7df6a041aa1969fd6ff0_179","c456f1c0372d74d556a5dc3af636a419_1703","731f4f343d163482ebf56e977393a970_1408","ca0cc224996876d0826ad521ee7078ca_148"
"group_3161","","hypothetical protein","8","8","1","11","2066","","","","842","842","842","SPN_00320","c42d22b1a89013949a40735112065cff_1563","1651352c2107c8e99d1e2755be326f79_1476","60840bfe9c73a8f6158b7bc25c0cbd81_1280","a0f7cc78741c7df6a041aa1969fd6ff0_1047","c456f1c0372d74d556a5dc3af636a419_270","731f4f343d163482ebf56e977393a970_138","ca0cc224996876d0826ad521ee7078ca_733"
"licT_2","","Transcription antiterminator LicT","8","8","1","11","1858","","","","836","836","836","SPN_00680","c42d22b1a89013949a40735112065cff_2058","1651352c2107c8e99d1e2755be326f79_1079","60840bfe9c73a8f6158b7bc25c0cbd81_2001","a0f7cc78741c7df6a041aa1969fd6ff0_2060","c456f1c0372d74d556a5dc3af636a419_519","731f4f343d163482ebf56e977393a970_1285","ca0cc224996876d0826ad521ee7078ca_726"
"group_3163","","hypothetical protein","8","8","1","11","871","","","","1199","1199","1199","SPN_00245","c42d22b1a89013949a40735112065cff_57","1651352c2107c8e99d1e2755be326f79_188","60840bfe9c73a8f6158b7bc25c0cbd81_472","a0f7cc78741c7df6a041aa1969fd6ff0_972","c456f1c0372d74d556a5dc3af636a419_196","731f4f343d163482ebf56e977393a970_58","ca0cc224996876d0826ad521ee7078ca_566"
"deoD_2","","Purine nucleoside phosphorylase DeoD-type","8","8","1","11","2102","","","","710","710","710","SPN_01958","c42d22b1a89013949a40735112065cff_1042","1651352c2107c8e99d1e2755be326f79_1909","60840bfe9c73a8f6158b7bc25c0cbd81_1913","a0f7cc78741c7df6a041aa1969fd6ff0_1266","c456f1c0372d74d556a5dc3af636a419_1050","731f4f343d163482ebf56e977393a970_455","ca0cc224996876d0826ad521ee7078ca_1985"
"alaS","","Alanine--tRNA ligase","8","8","1","11","2580","","","","2618","2618","2618","SPN_00537","c42d22b1a89013949a40735112065cff_711","1651352c2107c8e99d1e2755be326f79_607","60840bfe9c73a8f6158b7bc25c0cbd81_819","a0f7cc78741c7df6a041aa1969fd6ff0_667","c456f1c0372d74d556a5dc3af636a419_1273","731f4f343d163482ebf56e977393a970_971","ca0cc224996876d0826ad521ee7078ca_1185"
"dltA","","D-alanine--poly(phosphoribitol) ligase subunit 1","8","8","1","11","379","","","","1550","1550","1550","SPN_01372","c42d22b1a89013949a40735112065cff_390","1651352c2107c8e99d1e2755be326f79_1175","60840bfe9c73a8f6158b7bc25c0cbd81_777","a0f7cc78741c7df6a041aa1969fd6ff0_1312","c456f1c0372d74d556a5dc3af636a419_975","731f4f343d163482ebf56e977393a970_1142","ca0cc224996876d0826ad521ee7078ca_1035"
"rsmF","","Ribosomal RNA small subunit methyltransferase F","8","8","1","11","2452","","","","1304","1304","1304","SPN_00518","c42d22b1a89013949a40735112065cff_693","1651352c2107c8e99d1e2755be326f79_590","60840bfe9c73a8f6158b7bc25c0cbd81_801","a0f7cc78741c7df6a041aa1969fd6ff0_648","c456f1c0372d74d556a5dc3af636a419_1255","731f4f343d163482ebf56e977393a970_953","ca0cc224996876d0826ad521ee7078ca_1204"
"group_3168","","hypothetical protein","8","8","1","11","1834","","","","203","203","203","SPN_00171","c42d22b1a89013949a40735112065cff_1248","1651352c2107c8e99d1e2755be326f79_1366","60840bfe9c73a8f6158b7bc25c0cbd81_540","a0f7cc78741c7df6a041aa1969fd6ff0_906","c456f1c0372d74d556a5dc3af636a419_107","731f4f343d163482ebf56e977393a970_1181","ca0cc224996876d0826ad521ee7078ca_474"
"group_3169","","hypothetical protein","8","8","1","11","3010","","","","284","284","284","SPN_00942","c42d22b1a89013949a40735112065cff_495","1651352c2107c8e99d1e2755be326f79_437","60840bfe9c73a8f6158b7bc25c0cbd81_49","a0f7cc78741c7df6a041aa1969fd6ff0_353","c456f1c0372d74d556a5dc3af636a419_754","731f4f343d163482ebf56e977393a970_566","ca0cc224996876d0826ad521ee7078ca_1888"
"tadA","","tRNA-specific adenosine deaminase","8","8","1","11","1540","","","","467","467","467","SPN_00005","c42d22b1a89013949a40735112065cff_328","1651352c2107c8e99d1e2755be326f79_1226","60840bfe9c73a8f6158b7bc25c0cbd81_1529","a0f7cc78741c7df6a041aa1969fd6ff0_1465","c456f1c0372d74d556a5dc3af636a419_428","731f4f343d163482ebf56e977393a970_863","ca0cc224996876d0826ad521ee7078ca_2017"
"ulaB","","Ascorbate-specific PTS system EIIB component","8","8","1","11","1217","","","","281","281","281","SPN_01541","c42d22b1a89013949a40735112065cff_1673","1651352c2107c8e99d1e2755be326f79_1317","60840bfe9c73a8f6158b7bc25c0cbd81_631","a0f7cc78741c7df6a041aa1969fd6ff0_1865","c456f1c0372d74d556a5dc3af636a419_1625","731f4f343d163482ebf56e977393a970_1787","ca0cc224996876d0826ad521ee7078ca_1656"
"lptB","","Lipopolysaccharide export system ATP-binding protein LptB","8","8","1","11","575","","","","764","764","764","SPN_02068","c42d22b1a89013949a40735112065cff_971","1651352c2107c8e99d1e2755be326f79_344","60840bfe9c73a8f6158b7bc25c0cbd81_1609","a0f7cc78741c7df6a041aa1969fd6ff0_2073","c456f1c0372d74d556a5dc3af636a419_635","731f4f343d163482ebf56e977393a970_247","ca0cc224996876d0826ad521ee7078ca_897"
"yvoA","","HTH-type transcriptional repressor YvoA","8","8","1","11","2404","","","","698","698","698","SPN_00489","c42d22b1a89013949a40735112065cff_1986","1651352c2107c8e99d1e2755be326f79_258","60840bfe9c73a8f6158b7bc25c0cbd81_1825","a0f7cc78741c7df6a041aa1969fd6ff0_619","c456f1c0372d74d556a5dc3af636a419_1565","731f4f343d163482ebf56e977393a970_914","ca0cc224996876d0826ad521ee7078ca_1503"
"pucK","","Uric acid permease PucK","8","8","1","11","1789","","","","1262","1262","1262","SPN_00126","c42d22b1a89013949a40735112065cff_1295","1651352c2107c8e99d1e2755be326f79_1601","60840bfe9c73a8f6158b7bc25c0cbd81_575","a0f7cc78741c7df6a041aa1969fd6ff0_862","c456f1c0372d74d556a5dc3af636a419_62","731f4f343d163482ebf56e977393a970_1224","ca0cc224996876d0826ad521ee7078ca_431"
"lacA","","Galactose-6-phosphate isomerase subunit LacA","8","8","1","11","1853","","","","425","425","425","SPN_00684","c42d22b1a89013949a40735112065cff_2054","1651352c2107c8e99d1e2755be326f79_1074","60840bfe9c73a8f6158b7bc25c0cbd81_2005","a0f7cc78741c7df6a041aa1969fd6ff0_2064","c456f1c0372d74d556a5dc3af636a419_523","731f4f343d163482ebf56e977393a970_1289","ca0cc224996876d0826ad521ee7078ca_722"
"agaSK","","Bifunctional alpha-galactosidase/sucrose kinase AgaSK","8","8","1","11","1737","","","","2162","2162","2162","SPN_02050","c42d22b1a89013949a40735112065cff_1824","1651352c2107c8e99d1e2755be326f79_1822","60840bfe9c73a8f6158b7bc25c0cbd81_1979","a0f7cc78741c7df6a041aa1969fd6ff0_813","c456f1c0372d74d556a5dc3af636a419_12","731f4f343d163482ebf56e977393a970_1273","ca0cc224996876d0826ad521ee7078ca_382"
"glnA","","Glutamine synthetase","8","8","1","11","2978","","","","1346","1346","1346","SPN_00915","c42d22b1a89013949a40735112065cff_522","1651352c2107c8e99d1e2755be326f79_413","60840bfe9c73a8f6158b7bc25c0cbd81_22","a0f7cc78741c7df6a041aa1969fd6ff0_380","c456f1c0372d74d556a5dc3af636a419_732","731f4f343d163482ebf56e977393a970_544","ca0cc224996876d0826ad521ee7078ca_1866"
"tkt_1","","Transketolase","8","8","1","11","310","","","","857","860","857","SPN_01419","c42d22b1a89013949a40735112065cff_437","1651352c2107c8e99d1e2755be326f79_1213","60840bfe9c73a8f6158b7bc25c0cbd81_731","a0f7cc78741c7df6a041aa1969fd6ff0_1894","c456f1c0372d74d556a5dc3af636a419_1232","731f4f343d163482ebf56e977393a970_1096","ca0cc224996876d0826ad521ee7078ca_1423"
"group_3179","","hypothetical protein","8","8","1","11","519","","","","566","566","566","SPN_01844","c42d22b1a89013949a40735112065cff_908","1651352c2107c8e99d1e2755be326f79_1112","60840bfe9c73a8f6158b7bc25c0cbd81_1894","a0f7cc78741c7df6a041aa1969fd6ff0_1769","c456f1c0372d74d556a5dc3af636a419_1660","731f4f343d163482ebf56e977393a970_2006","ca0cc224996876d0826ad521ee7078ca_1693"
"group_3180","","hypothetical protein","8","8","1","11","2260","","","","1004","1004","1004","SPN_01816","c42d22b1a89013949a40735112065cff_1800","1651352c2107c8e99d1e2755be326f79_2175","60840bfe9c73a8f6158b7bc25c0cbd81_1878","a0f7cc78741c7df6a041aa1969fd6ff0_1740","c456f1c0372d74d556a5dc3af636a419_912","731f4f343d163482ebf56e977393a970_1929","ca0cc224996876d0826ad521ee7078ca_1937"
"group_3181","","DegV domain-containing protein","8","8","1","11","1245","","","","848","848","848","SPN_00381","c42d22b1a89013949a40735112065cff_1499","1651352c2107c8e99d1e2755be326f79_559","60840bfe9c73a8f6158b7bc25c0cbd81_1111","a0f7cc78741c7df6a041aa1969fd6ff0_511","c456f1c0372d74d556a5dc3af636a419_1489","731f4f343d163482ebf56e977393a970_198","ca0cc224996876d0826ad521ee7078ca_800"
"group_3182","","hypothetical protein","8","8","1","11","3069","","","","548","548","548","SPN_00989","c42d22b1a89013949a40735112065cff_1436","1651352c2107c8e99d1e2755be326f79_5","60840bfe9c73a8f6158b7bc25c0cbd81_104","a0f7cc78741c7df6a041aa1969fd6ff0_307","c456f1c0372d74d556a5dc3af636a419_799","731f4f343d163482ebf56e977393a970_614","ca0cc224996876d0826ad521ee7078ca_43"
"pgi","","Glucose-6-phosphate isomerase","8","8","1","11","250","","","","1349","1349","1349","SPN_01477","c42d22b1a89013949a40735112065cff_2099","1651352c2107c8e99d1e2755be326f79_1594","60840bfe9c73a8f6158b7bc25c0cbd81_676","a0f7cc78741c7df6a041aa1969fd6ff0_2087","c456f1c0372d74d556a5dc3af636a419_1177","731f4f343d163482ebf56e977393a970_1039","ca0cc224996876d0826ad521ee7078ca_1476"
"group_3184","","hypothetical protein","8","8","1","11","1809","","","","659","659","659","SPN_00145","c42d22b1a89013949a40735112065cff_1277","1651352c2107c8e99d1e2755be326f79_1346","60840bfe9c73a8f6158b7bc25c0cbd81_559","a0f7cc78741c7df6a041aa1969fd6ff0_881","c456f1c0372d74d556a5dc3af636a419_80","731f4f343d163482ebf56e977393a970_1205","ca0cc224996876d0826ad521ee7078ca_446"
"group_3185","","hypothetical protein","8","8","1","11","2392","","","","224","224","224","SPN_00478","c42d22b1a89013949a40735112065cff_1997","1651352c2107c8e99d1e2755be326f79_269","60840bfe9c73a8f6158b7bc25c0cbd81_1814","a0f7cc78741c7df6a041aa1969fd6ff0_608","c456f1c0372d74d556a5dc3af636a419_1554","731f4f343d163482ebf56e977393a970_903","ca0cc224996876d0826ad521ee7078ca_1514"
"adcR","","Transcriptional regulator AdcR","8","8","1","11","370","","","","440","440","440","SPN_01376","c42d22b1a89013949a40735112065cff_394","1651352c2107c8e99d1e2755be326f79_1179","60840bfe9c73a8f6158b7bc25c0cbd81_773","a0f7cc78741c7df6a041aa1969fd6ff0_1316","c456f1c0372d74d556a5dc3af636a419_979","731f4f343d163482ebf56e977393a970_1138","ca0cc224996876d0826ad521ee7078ca_1031"
"hrcA","","Heat-inducible transcription repressor HrcA","8","8","1","11","2968","","","","1034","1034","1034","SPN_00905","c42d22b1a89013949a40735112065cff_531","1651352c2107c8e99d1e2755be326f79_404","60840bfe9c73a8f6158b7bc25c0cbd81_13","a0f7cc78741c7df6a041aa1969fd6ff0_390","c456f1c0372d74d556a5dc3af636a419_1938","731f4f343d163482ebf56e977393a970_535","ca0cc224996876d0826ad521ee7078ca_1817"
"group_3188","","hypothetical protein","8","8","1","11","371","","","","1268","1268","1268","SPN_01375","c42d22b1a89013949a40735112065cff_393","1651352c2107c8e99d1e2755be326f79_1178","60840bfe9c73a8f6158b7bc25c0cbd81_774","a0f7cc78741c7df6a041aa1969fd6ff0_1315","c456f1c0372d74d556a5dc3af636a419_978","731f4f343d163482ebf56e977393a970_1139","ca0cc224996876d0826ad521ee7078ca_1032"
"recG","","ATP-dependent DNA helicase RecG","8","8","1","11","894","","","","2015","2015","2015","SPN_00265","c42d22b1a89013949a40735112065cff_77","1651352c2107c8e99d1e2755be326f79_168","60840bfe9c73a8f6158b7bc25c0cbd81_452","a0f7cc78741c7df6a041aa1969fd6ff0_992","c456f1c0372d74d556a5dc3af636a419_216","731f4f343d163482ebf56e977393a970_80","ca0cc224996876d0826ad521ee7078ca_586"
"fni","","Isopentenyl-diphosphate delta-isomerase","8","8","1","11","3100","","","","1010","1010","1010","SPN_01012","c42d22b1a89013949a40735112065cff_1410","1651352c2107c8e99d1e2755be326f79_20","60840bfe9c73a8f6158b7bc25c0cbd81_120","a0f7cc78741c7df6a041aa1969fd6ff0_284","c456f1c0372d74d556a5dc3af636a419_823","731f4f343d163482ebf56e977393a970_639","ca0cc224996876d0826ad521ee7078ca_68"
"yutF","","Acid sugar phosphatase","8","8","1","11","2457","","","","773","773","773","SPN_00513","c42d22b1a89013949a40735112065cff_688","1651352c2107c8e99d1e2755be326f79_2130","60840bfe9c73a8f6158b7bc25c0cbd81_796","a0f7cc78741c7df6a041aa1969fd6ff0_643","c456f1c0372d74d556a5dc3af636a419_1250","731f4f343d163482ebf56e977393a970_948","ca0cc224996876d0826ad521ee7078ca_1209"
"tcyA","","L-cystine-binding protein TcyA","8","8","1","11","3411","","","","830","830","830","SPN_01252","c42d22b1a89013949a40735112065cff_208","1651352c2107c8e99d1e2755be326f79_1011","60840bfe9c73a8f6158b7bc25c0cbd81_336","a0f7cc78741c7df6a041aa1969fd6ff0_64","c456f1c0372d74d556a5dc3af636a419_2073","731f4f343d163482ebf56e977393a970_730","ca0cc224996876d0826ad521ee7078ca_264"
"aroD","","3-dehydroquinate dehydratase","8","8","1","11","2585","","","","677","677","677","SPN_00542","c42d22b1a89013949a40735112065cff_716","1651352c2107c8e99d1e2755be326f79_612","60840bfe9c73a8f6158b7bc25c0cbd81_824","a0f7cc78741c7df6a041aa1969fd6ff0_672","c456f1c0372d74d556a5dc3af636a419_1278","731f4f343d163482ebf56e977393a970_976","ca0cc224996876d0826ad521ee7078ca_1180"
"rpsT","","30S ribosomal protein S20","8","8","1","11","2100","","","","236","236","236","SPN_01960","c42d22b1a89013949a40735112065cff_1044","1651352c2107c8e99d1e2755be326f79_1907","60840bfe9c73a8f6158b7bc25c0cbd81_1915","a0f7cc78741c7df6a041aa1969fd6ff0_1264","c456f1c0372d74d556a5dc3af636a419_1052","731f4f343d163482ebf56e977393a970_453","ca0cc224996876d0826ad521ee7078ca_1987"
"thiD","","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","8","8","1","11","2573","","","","791","791","791","SPN_00697","c42d22b1a89013949a40735112065cff_948","1651352c2107c8e99d1e2755be326f79_693","60840bfe9c73a8f6158b7bc25c0cbd81_1632","a0f7cc78741c7df6a041aa1969fd6ff0_1719","c456f1c0372d74d556a5dc3af636a419_659","731f4f343d163482ebf56e977393a970_270","ca0cc224996876d0826ad521ee7078ca_921"
"group_3196","","hypothetical protein","8","8","1","11","2456","","","","617","617","617","SPN_00514","c42d22b1a89013949a40735112065cff_689","1651352c2107c8e99d1e2755be326f79_2131","60840bfe9c73a8f6158b7bc25c0cbd81_797","a0f7cc78741c7df6a041aa1969fd6ff0_644","c456f1c0372d74d556a5dc3af636a419_1251","731f4f343d163482ebf56e977393a970_949","ca0cc224996876d0826ad521ee7078ca_1208"
"purN","","Phosphoribosylglycinamide formyltransferase","8","8","1","11","1642","","","","545","545","545","SPN_00037","c42d22b1a89013949a40735112065cff_302","1651352c2107c8e99d1e2755be326f79_1257","60840bfe9c73a8f6158b7bc25c0cbd81_1504","a0f7cc78741c7df6a041aa1969fd6ff0_1497","c456f1c0372d74d556a5dc3af636a419_402","731f4f343d163482ebf56e977393a970_818","ca0cc224996876d0826ad521ee7078ca_363"
"dltC","","D-alanine--poly(phosphoribitol) ligase subunit 2","8","8","1","11","372","","","","239","239","239","SPN_01374","c42d22b1a89013949a40735112065cff_392","1651352c2107c8e99d1e2755be326f79_1177","60840bfe9c73a8f6158b7bc25c0cbd81_775","a0f7cc78741c7df6a041aa1969fd6ff0_1314","c456f1c0372d74d556a5dc3af636a419_977","731f4f343d163482ebf56e977393a970_1140","ca0cc224996876d0826ad521ee7078ca_1033"
